CellType,CtValue
wtHeLa,12.71
wtHeLa,11.84
wtHeLa,12.15
wtHeLa,11.66
wtHeLa,12.67
wtHeLa,12.43
wtHeLa,13.1
wtHeLa,11.92
wtHeLa,13.24
wtHeLa,12.7
Ltn1_1,14.25
Ltn1_1,12.9
Ltn1_1,14.61
Ltn1_1,13.98
Ltn1_1,13.61
Ltn1_1,14.64
Ltn1_1,13.28
Ltn1_1,13.89
Ltn1_1,14.27
Ltn1_1,14.79
Ltn1_2,13.44
Ltn1_2,13.8
Ltn1_2,12.7
Ltn1_2,11.8
Ltn1_2,14.05
Ltn1_2,12.73
Ltn1_2,12.46
Ltn1_2,12.33
Ltn1_2,14.28
Ltn1_2,12.37
Ltn1_3,13.73
Ltn1_3,13.88
Ltn1_3,12.84
Ltn1_3,15.47
Ltn1_3,14.67
Ltn1_3,15.03
Ltn1_3,14.55
Ltn1_3,13.94
Ltn1_3,14.97
Ltn1_3,14.08
